# Filter transmission curve produced by Materion. ,
#Truncated at T<1% due to measurement noise. ,
#True CGI curve may differ slightly (TBD) due to difference in f/number in Materion test setup and vacuum vs. air. ,
lambda_nm,%T
744.0,0.0001
745.0,0.0000
746.0,0.0001
747.0,0.0000
748.0,0.0000
749.0,0.0000
750.0,0.0000
751.0,0.0001
752.0,0.0001
753.0,0.0001
754.0,0.0001
755.0,0.0003
756.0,0.0004
757.0,0.0009
758.0,0.0010
759.0,0.0008
760.0,0.0004
761.0,0.0003
762.0,0.0002
763.0,0.0001
764.0,0.0001
765.0,0.0002
766.0,0.0001
767.0,0.0001
768.0,0.0001
769.0,0.0003
770.0,0.0004
771.0,0.0005
772.0,0.0005
773.0,0.0005
774.0,0.0002
775.0,0.0001
776.0,0.0001
777.0,0.0000
778.0,0.0001
779.0,0.0001
780.0,0.0000
781.0,0.0000
782.0,0.0001
783.0,0.0001
784.0,0.0000
785.0,0.0000
786.0,0.0002
787.0,0.0001
788.0,0.0003
789.0,0.0002
790.0,0.0002
791.0,0.0002
792.0,0.0001
793.0,0.0000
794.0,0.0001
795.0,0.0000
796.0,0.0000
797.0,0.0000
798.0,0.0000
799.0,0.0001
800.0,0.0000
801.0,0.0001
802.0,0.0001
803.0,0.0000
804.0,0.0000
805.0,0.0000
806.0,0.0003
807.0,0.0002
808.0,0.0003
809.0,0.0002
810.0,0.0002
811.0,0.0002
812.0,0.0001
813.0,0.0000
814.0,0.0000
815.0,0.0001
816.0,0.0000
817.0,0.0001
818.0,0.0000
819.0,0.0000
820.0,0.0001
821.0,0.0001
822.0,0.0001
823.0,0.0000
824.0,0.0001
825.0,0.0001
826.0,0.0001
827.0,0.0000
828.0,0.0000
829.0,0.0001
830.0,0.0000
831.0,0.0001
832.0,0.0002
833.0,0.0005
834.0,0.0003
835.0,0.0000
836.0,0.0001
837.0,0.0000
838.0,0.0000
839.0,0.0001
840.0,0.0000
841.0,0.0001
842.0,0.0001
843.0,0.0000
844.0,0.0001
845.0,0.0001
846.0,0.0002
847.0,0.0000
848.0,0.0000
849.0,0.0000
850.0,0.0001
851.0,0.0000
852.0,0.0000
853.0,0.0001
854.0,0.0000
855.0,0.0000
856.0,0.0000
857.0,0.0000
858.0,0.0000
859.0,0.0000
860.0,0.0000
861.0,0.0000
862.0,0.0001
863.0,0.0000
864.0,0.0000
865.0,0.0000
866.0,0.0000
867.0,0.0000
868.0,0.0000
869.0,0.0000
870.0,0.0001
871.0,0.0000
872.0,0.0000
873.0,0.0000
874.0,0.0000
875.0,0.0000
876.0,0.0000
877.0,0.0000
878.0,0.0000
879.0,0.0000
880.0,0.0001
881.0,0.0000
882.0,0.0000
883.0,0.0001
884.0,0.0000
885.0,0.0001
886.0,0.0000
887.0,0.0000
888.0,0.0000
889.0,0.0000
890.0,0.0000
891.0,0.0000
892.0,0.0000
893.0,0.0000
894.0,0.0000
895.0,0.0000
896.0,0.0000
897.0,0.0000
898.0,0.0000
899.0,0.0000
900.0,0.0000
901.0,0.0000
902.0,0.0001
903.0,0.0000
904.0,0.0000
905.0,0.0000
906.0,0.0000
907.0,0.0000
908.0,0.0000
909.0,0.0000
910.0,0.0000
911.0,0.0000
912.0,0.0000
913.0,0.0000
914.0,0.0000
915.0,0.0000
916.0,0.0000
917.0,0.0000
918.0,0.0001
919.0,0.0000
920.0,0.0001
921.0,0.0001
922.0,0.0000
923.0,0.0000
924.0,0.0000
925.0,0.0000
926.0,0.0001
927.0,0.0000
928.0,0.0001
929.0,0.0000
930.0,0.0000
931.0,0.0000
932.0,0.0001
933.0,0.0000
934.0,0.0001
935.0,0.0000
936.0,0.0000
937.0,0.0000
938.0,0.0000
939.0,0.0000
940.0,0.0000
941.0,0.0000
942.0,0.0001
943.0,0.0001
944.0,0.0000
945.0,0.0000
946.0,0.0000
947.0,0.0000
948.0,0.0001
949.0,0.0000
950.0,0.0001
951.0,0.0000
952.0,0.0000
953.0,0.0001
954.0,0.0001
955.0,0.0000
956.0,0.0001
957.0,0.0000
958.0,0.0001
959.0,0.0001
960.0,0.0000
961.0,0.0000
962.0,0.0000
963.0,0.0001
964.0,0.0001
965.0,0.0000
966.0,0.0001
967.0,0.0000
968.0,0.0000
969.0,0.0000
970.0,0.0000
971.0,0.0000
972.0,0.0000
