# wavelength, f_lambda
2.2900e+02,1.6280e-24
2.3400e+02,4.5734e-24
2.4300e+02,2.4323e-23
2.5200e+02,1.1384e-22
2.5600e+02,2.1587e-22
2.6000e+02,4.0901e-22
2.6600e+02,1.0137e-21
2.7500e+02,3.6666e-21
2.8300e+02,1.0720e-20
2.9300e+02,3.7581e-20
3.0100e+02,9.6733e-20
3.0900e+02,2.3545e-19
3.2500e+02,1.2312e-18
3.4200e+02,5.9666e-18
3.5100e+02,1.2895e-17
3.5600e+02,1.9435e-17
3.6500e+02,3.9527e-17
3.7500e+02,8.3304e-17
3.8400e+02,1.5743e-16
4.0000e+02,4.5242e-16
4.1500e+02,1.1255e-15
4.2500e+02,1.9857e-15
4.4500e+02,5.7086e-15
4.7200e+02,2.0331e-14
4.9400e+02,5.1167e-14
5.0600e+02,1.0845e-12
5.1600e+02,1.7401e-12
5.4000e+02,3.5315e-12
5.6400e+02,6.6897e-12
5.8700e+02,1.0060e-11
6.1200e+02,1.8529e-11
6.4000e+02,2.9912e-11
6.7100e+02,4.8565e-11
7.0500e+02,8.1128e-11
7.3600e+02,1.1888e-10
7.7000e+02,1.8258e-10
8.1000e+02,2.7266e-10
8.5000e+02,3.8175e-10
8.9000e+02,5.5183e-10
9.2000e+02,2.9921e-09
9.4000e+02,5.1991e-08
9.6200e+02,1.1782e-07
9.8700e+02,1.6538e-07
1.0120e+03,1.8288e-07
1.0370e+03,2.0579e-07
1.0620e+03,2.3546e-07
1.0870e+03,2.1772e-07
1.1120e+03,2.2337e-07
1.1200e+03,2.3016e-07
1.1400e+03,2.3478e-07
1.1600e+03,2.3510e-07
1.1800e+03,2.1010e-07
1.2000e+03,1.2635e-07
1.2200e+03,2.7237e-08
1.2400e+03,1.6909e-07
1.2600e+03,1.8348e-07
1.2800e+03,1.9327e-07
1.3000e+03,1.6041e-07
1.3200e+03,1.8118e-07
1.3400e+03,1.6700e-07
1.3600e+03,1.5931e-07
1.3800e+03,1.4602e-07
1.4000e+03,1.2734e-07
1.4200e+03,1.4273e-07
1.4400e+03,1.5163e-07
1.4600e+03,1.4943e-07
1.4800e+03,1.4064e-07
1.5000e+03,1.3404e-07
1.5200e+03,1.2965e-07
1.5400e+03,1.2965e-07
1.5600e+03,1.2404e-07
1.5800e+03,1.1965e-07
1.6000e+03,1.0744e-07
1.6200e+03,1.0514e-07
1.6400e+03,1.0514e-07
1.6600e+03,9.5370e-08
1.6800e+03,9.9765e-08
1.7000e+03,9.5589e-08
1.7200e+03,9.4051e-08
1.7400e+03,8.9215e-08
1.7600e+03,8.5665e-08
1.7800e+03,8.2112e-08
1.8000e+03,7.8559e-08
1.8200e+03,7.5042e-08
1.8400e+03,6.8879e-08
1.8600e+03,7.1405e-08
1.8800e+03,6.5253e-08
1.9000e+03,6.3285e-08
1.9200e+03,5.9659e-08
1.9400e+03,5.6474e-08
1.9600e+03,5.7232e-08
1.9800e+03,5.2629e-08
2.0000e+03,5.4484e-08
2.0025e+03,5.3937e-08
2.0050e+03,5.3387e-08
2.0075e+03,5.2836e-08
2.0100e+03,5.2290e-08
2.0125e+03,5.1740e-08
2.0150e+03,5.1189e-08
2.0175e+03,5.0639e-08
2.0200e+03,5.0092e-08
2.0225e+03,4.9775e-08
2.0250e+03,4.9458e-08
2.0275e+03,4.9141e-08
2.0300e+03,4.8828e-08
2.0325e+03,4.8511e-08
2.0350e+03,4.8194e-08
2.0375e+03,4.7880e-08
2.0400e+03,4.7563e-08
2.0425e+03,4.7468e-08
2.0450e+03,4.7370e-08
2.0475e+03,4.7275e-08
2.0500e+03,4.7180e-08
2.0525e+03,4.7082e-08
2.0550e+03,4.6987e-08
2.0575e+03,4.6889e-08
2.0600e+03,4.6794e-08
2.0625e+03,4.6535e-08
2.0650e+03,4.6273e-08
2.0675e+03,4.6011e-08
2.0700e+03,4.5752e-08
2.0725e+03,4.5489e-08
2.0750e+03,4.5231e-08
2.0775e+03,4.4968e-08
2.0800e+03,4.4706e-08
2.0825e+03,4.4666e-08
2.0850e+03,4.4626e-08
2.0875e+03,4.4582e-08
2.0900e+03,4.4542e-08
2.0925e+03,4.4502e-08
2.0950e+03,4.4462e-08
