# wavelength, f_lambda
2.2900e+02,1.3637e-24
2.3400e+02,3.8307e-24
2.4300e+02,2.0374e-23
2.5200e+02,9.5355e-23
2.5600e+02,1.8083e-22
2.6000e+02,3.4262e-22
2.6600e+02,8.4910e-22
2.7500e+02,3.0713e-21
2.8300e+02,8.9791e-21
2.9300e+02,3.1479e-20
3.0100e+02,8.1030e-20
3.0900e+02,1.9723e-19
3.2500e+02,1.0313e-18
3.4200e+02,4.9982e-18
3.5100e+02,1.0802e-17
3.5600e+02,1.6280e-17
3.6500e+02,3.3111e-17
3.7500e+02,6.9781e-17
3.8400e+02,1.3187e-16
4.0000e+02,3.7896e-16
4.1500e+02,9.4279e-16
4.2500e+02,1.6633e-15
4.4500e+02,4.7818e-15
4.7200e+02,1.7031e-14
4.9400e+02,4.2861e-14
5.0600e+02,9.0846e-13
5.1600e+02,1.4576e-12
5.4000e+02,2.9582e-12
5.6400e+02,5.6037e-12
5.8700e+02,8.4270e-12
6.1200e+02,1.5521e-11
6.4000e+02,2.5056e-11
6.7100e+02,4.0682e-11
7.0500e+02,6.7955e-11
7.3600e+02,9.9581e-11
7.7000e+02,1.5295e-10
8.1000e+02,2.2840e-10
8.5000e+02,3.1978e-10
8.9000e+02,4.6225e-10
9.2000e+02,2.5063e-09
9.4000e+02,4.3552e-08
9.6200e+02,9.8694e-08
9.8700e+02,1.3854e-07
1.0120e+03,1.5319e-07
1.0370e+03,1.7238e-07
1.0620e+03,1.9723e-07
1.0870e+03,1.8237e-07
1.1120e+03,1.8711e-07
1.1200e+03,1.9279e-07
1.1400e+03,1.9666e-07
1.1600e+03,1.9693e-07
1.1800e+03,1.7599e-07
1.2000e+03,1.0584e-07
1.2200e+03,2.2816e-08
1.2400e+03,1.4164e-07
1.2600e+03,1.5370e-07
1.2800e+03,1.6189e-07
1.3000e+03,1.3437e-07
1.3200e+03,1.5177e-07
1.3400e+03,1.3989e-07
1.3600e+03,1.3345e-07
1.3800e+03,1.2232e-07
1.4000e+03,1.0667e-07
1.4200e+03,1.1955e-07
1.4400e+03,1.2701e-07
1.4600e+03,1.2517e-07
1.4800e+03,1.1781e-07
1.5000e+03,1.1228e-07
1.5200e+03,1.0860e-07
1.5400e+03,1.0860e-07
1.5600e+03,1.0391e-07
1.5800e+03,1.0023e-07
1.6000e+03,9.0002e-08
1.6200e+03,8.8067e-08
1.6400e+03,8.8067e-08
1.6600e+03,7.9888e-08
1.6800e+03,8.3568e-08
1.7000e+03,8.0069e-08
1.7200e+03,7.8782e-08
1.7400e+03,7.4731e-08
1.7600e+03,7.1756e-08
1.7800e+03,6.8781e-08
1.8000e+03,6.5806e-08
1.8200e+03,6.2860e-08
1.8400e+03,5.7695e-08
1.8600e+03,5.9812e-08
1.8800e+03,5.4659e-08
1.9000e+03,5.3011e-08
1.9200e+03,4.9974e-08
1.9400e+03,4.7305e-08
1.9600e+03,4.7941e-08
1.9800e+03,4.4086e-08
2.0000e+03,4.5639e-08
2.0025e+03,4.5181e-08
2.0050e+03,4.4719e-08
2.0075e+03,4.4261e-08
2.0100e+03,4.3799e-08
2.0125e+03,4.3341e-08
2.0150e+03,4.2879e-08
2.0175e+03,4.2421e-08
2.0200e+03,4.1959e-08
2.0225e+03,4.1693e-08
2.0250e+03,4.1431e-08
2.0275e+03,4.1166e-08
2.0300e+03,4.0900e-08
2.0325e+03,4.0635e-08
2.0350e+03,4.0373e-08
2.0375e+03,4.0107e-08
2.0400e+03,3.9842e-08
2.0425e+03,3.9762e-08
2.0450e+03,3.9682e-08
2.0475e+03,3.9602e-08
2.0500e+03,3.9518e-08
2.0525e+03,3.9438e-08
2.0550e+03,3.9358e-08
2.0575e+03,3.9278e-08
2.0600e+03,3.9198e-08
2.0625e+03,3.8980e-08
2.0650e+03,3.8762e-08
2.0675e+03,3.8540e-08
2.0700e+03,3.8322e-08
2.0725e+03,3.8104e-08
2.0750e+03,3.7885e-08
2.0775e+03,3.7667e-08
2.0800e+03,3.7449e-08
2.0825e+03,3.7413e-08
2.0850e+03,3.7380e-08
2.0875e+03,3.7347e-08
2.0900e+03,3.7311e-08
2.0925e+03,3.7278e-08
2.0950e+03,3.7242e-08
2.0975e+03,3.7209e-08
2.1000e+03,3.7173e-08
2.1025e+03,3.7140e-08
2.1050e+03,3.7103e-08
2.1075e+03,3.7071e-08
2.1100e+03,3.7034e-08
2.1125e+03,3.7002e-08
2.1150e+03,3.6965e-08
2.1175e+03,3.6932e-08
2.1200e+03,3.6896e-08
2.1225e+03,3.6703e-08
2.1250e+03,3.6507e-08
2.1275e+03,3.6313e-08
2.1300e+03,3.6119e-08
2.1325e+03,3.5925e-08
2.1350e+03,3.5730e-08
2.1375e+03,3.5536e-08
2.1400e+03,3.5341e-08
2.1425e+03,3.5307e-08
2.1450e+03,3.5272e-08
2.1475e+03,3.5238e-08
2.1500e+03,3.5204e-08
2.1525e+03,3.5169e-08
2.1550e+03,3.5134e-08
2.1575e+03,3.5100e-08
2.1600e+03,3.5065e-08
2.1625e+03,3.4938e-08
2.1650e+03,3.4810e-08
2.1675e+03,3.4682e-08
2.1700e+03,3.4555e-08
2.1725e+03,3.4427e-08
2.1750e+03,3.4299e-08
2.1775e+03,3.4171e-08
2.1800e+03,3.4044e-08
2.1825e+03,3.3918e-08
2.1850e+03,3.3793e-08
2.1875e+03,3.3668e-08
2.1900e+03,3.3542e-08
2.1925e+03,3.3417e-08
2.1950e+03,3.3291e-08
2.1975e+03,3.3166e-08
2.2000e+03,3.3041e-08
2.2025e+03,3.2936e-08
2.2050e+03,3.2831e-08
2.2075e+03,3.2726e-08
2.2100e+03,3.2622e-08
2.2125e+03,3.2517e-08
2.2150e+03,3.2413e-08
2.2175e+03,3.2308e-08
2.2200e+03,3.2203e-08
2.2225e+03,3.2203e-08
2.2250e+03,3.2203e-08
2.2275e+03,3.2203e-08
2.2300e+03,3.2203e-08
2.2325e+03,3.2203e-08
2.2350e+03,3.2203e-08
2.2375e+03,3.2203e-08
2.2400e+03,3.2203e-08
2.2425e+03,3.2089e-08
2.2450e+03,3.1975e-08
2.2475e+03,3.1861e-08
2.2500e+03,3.1747e-08
2.2525e+03,3.1634e-08
2.2550e+03,3.1520e-08
2.2575e+03,3.1406e-08
2.2600e+03,3.1292e-08
2.2625e+03,3.1177e-08
2.2650e+03,3.1062e-08
2.2675e+03,3.0947e-08
2.2700e+03,3.0832e-08
2.2725e+03,3.0717e-08
2.2750e+03,3.0602e-08
2.2775e+03,3.0486e-08
2.2800e+03,3.0372e-08
2.2825e+03,3.0325e-08
2.2850e+03,3.0280e-08
2.2875e+03,3.0233e-08
2.2900e+03,3.0188e-08
2.2925e+03,3.0141e-08
2.2950e+03,3.0096e-08
2.2975e+03,3.0049e-08
2.3000e+03,3.0004e-08
2.3025e+03,2.9991e-08
2.3050e+03,2.9978e-08
2.3075e+03,2.9965e-08
2.3100e+03,2.9953e-08
2.3125e+03,2.9940e-08
2.3150e+03,2.9928e-08
2.3175e+03,2.9915e-08
2.3200e+03,2.9902e-08
2.3225e+03,2.9867e-08
2.3250e+03,2.9833e-08
2.3275e+03,2.9799e-08
2.3300e+03,2.9764e-08
2.3325e+03,2.9730e-08
2.3350e+03,2.9695e-08
2.3375e+03,2.9661e-08
2.3400e+03,2.9626e-08
2.3425e+03,2.9650e-08
2.3450e+03,2.9674e-08
2.3475e+03,2.9698e-08
2.3500e+03,2.9723e-08
2.3525e+03,2.9747e-08
2.3550e+03,2.9771e-08
2.3575e+03,2.9795e-08
2.3600e+03,2.9819e-08
2.3625e+03,2.9739e-08
2.3650e+03,2.9658e-08
2.3675e+03,2.9578e-08
2.3700e+03,2.9497e-08
2.3725e+03,2.9417e-08
2.3750e+03,2.9336e-08
2.3775e+03,2.9256e-08
2.3800e+03,2.9175e-08
2.3825e+03,2.9071e-08
2.3850e+03,2.8968e-08
2.3875e+03,2.8864e-08
2.3900e+03,2.8761e-08
2.3925e+03,2.8658e-08
2.3950e+03,2.8554e-08
2.3975e+03,2.8450e-08
2.4000e+03,2.8347e-08
2.4025e+03,2.8450e-08
2.4050e+03,2.8554e-08
2.4075e+03,2.8658e-08
2.4100e+03,2.8761e-08
2.4125e+03,2.8864e-08
2.4150e+03,2.8968e-08
2.4175e+03,2.9071e-08
2.4200e+03,2.9175e-08
2.4225e+03,2.9140e-08
2.4250e+03,2.9106e-08
2.4275e+03,2.9071e-08
2.4300e+03,2.9037e-08
2.4325e+03,2.9003e-08
2.4350e+03,2.8968e-08
2.4375e+03,2.8934e-08
2.4400e+03,2.8899e-08
2.4425e+03,2.8853e-08
2.4450e+03,2.8807e-08
2.4475e+03,2.8761e-08
2.4500e+03,2.8715e-08
2.4525e+03,2.8669e-08
2.4550e+03,2.8623e-08
2.4575e+03,2.8577e-08
2.4600e+03,2.8531e-08
2.4625e+03,2.8462e-08
2.4650e+03,2.8393e-08
2.4675e+03,2.8324e-08
2.4700e+03,2.8255e-08
2.4725e+03,2.8186e-08
2.4750e+03,2.8117e-08
2.4775e+03,2.8048e-08
2.4800e+03,2.7978e-08
2.4825e+03,2.7885e-08
2.4850e+03,2.7792e-08
2.4875e+03,2.7699e-08
2.4900e+03,2.7606e-08
2.4925e+03,2.7513e-08
2.4950e+03,2.7420e-08
2.4975e+03,2.7326e-08
2.5000e+03,2.7233e-08
2.5025e+03,2.7108e-08
2.5050e+03,2.6982e-08
2.5075e+03,2.6857e-08
2.5100e+03,2.6731e-08
2.5125e+03,2.6606e-08
2.5150e+03,2.6481e-08
2.5175e+03,2.6355e-08
2.5200e+03,2.6230e-08
2.5225e+03,2.6183e-08
2.5250e+03,2.6136e-08
2.5275e+03,2.6088e-08
2.5300e+03,2.6041e-08
2.5325e+03,2.5994e-08
2.5350e+03,2.5947e-08
2.5375e+03,2.5900e-08
2.5400e+03,2.5853e-08
2.5425e+03,2.5785e-08
2.5450e+03,2.5717e-08
2.5475e+03,2.5649e-08
2.5500e+03,2.5581e-08
2.5525e+03,2.5513e-08
2.5550e+03,2.5445e-08
2.5575e+03,2.5377e-08
2.5600e+03,2.5310e-08
2.5625e+03,2.5252e-08
2.5650e+03,2.5194e-08
2.5675e+03,2.5137e-08
2.5700e+03,2.5080e-08
2.5725e+03,2.5022e-08
2.5750e+03,2.4965e-08
2.5775e+03,2.4907e-08
2.5800e+03,2.4849e-08
2.5825e+03,2.4873e-08
2.5850e+03,2.4896e-08
2.5875e+03,2.4918e-08
2.5900e+03,2.4941e-08
2.5925e+03,2.4965e-08
2.5950e+03,2.4988e-08
2.5975e+03,2.5010e-08
2.6000e+03,2.5033e-08
2.6025e+03,2.5045e-08
2.6050e+03,2.5057e-08
2.6075e+03,2.5068e-08
2.6100e+03,2.5080e-08
2.6125e+03,2.5091e-08
2.6150e+03,2.5102e-08
2.6175e+03,2.5114e-08
2.6200e+03,2.5126e-08
2.6225e+03,2.4998e-08
2.6250e+03,2.4870e-08
2.6275e+03,2.4742e-08
2.6300e+03,2.4615e-08
2.6325e+03,2.4487e-08
2.6350e+03,2.4359e-08
2.6375e+03,2.4232e-08
2.6400e+03,2.4104e-08
2.6425e+03,2.4023e-08
2.6450e+03,2.3943e-08
2.6475e+03,2.3862e-08
2.6500e+03,2.3782e-08
2.6525e+03,2.3701e-08
2.6550e+03,2.3621e-08
2.6575e+03,2.3540e-08
2.6600e+03,2.3460e-08
2.6625e+03,2.3506e-08
2.6650e+03,2.3552e-08
2.6675e+03,2.3598e-08
2.6700e+03,2.3644e-08
2.6725e+03,2.3690e-08
2.6750e+03,2.3736e-08
2.6775e+03,2.3782e-08
2.6800e+03,2.3828e-08
2.6825e+03,2.3782e-08
2.6850e+03,2.3736e-08
2.6875e+03,2.3690e-08
2.6900e+03,2.3644e-08
2.6925e+03,2.3598e-08
2.6950e+03,2.3552e-08
2.6975e+03,2.3506e-08
2.7000e+03,2.3460e-08
2.7025e+03,2.3472e-08
2.7050e+03,2.3485e-08
2.7075e+03,2.3498e-08
2.7100e+03,2.3510e-08
2.7125e+03,2.3523e-08
2.7150e+03,2.3536e-08
2.7175e+03,2.3548e-08
2.7200e+03,2.3561e-08
2.7225e+03,2.3423e-08
2.7250e+03,2.3285e-08
2.7275e+03,2.3147e-08
2.7300e+03,2.3009e-08
2.7325e+03,2.2871e-08
2.7350e+03,2.2733e-08
2.7375e+03,2.2594e-08
2.7400e+03,2.2457e-08
2.7425e+03,2.2432e-08
2.7450e+03,2.2408e-08
2.7475e+03,2.2384e-08
2.7500e+03,2.2360e-08
2.7525e+03,2.2336e-08
2.7550e+03,2.2312e-08
2.7575e+03,2.2288e-08
2.7600e+03,2.2263e-08
2.7625e+03,2.2241e-08
2.7650e+03,2.2220e-08
2.7675e+03,2.2198e-08
2.7700e+03,2.2176e-08
2.7725e+03,2.2154e-08
2.7750e+03,2.2132e-08
2.7775e+03,2.2110e-08
2.7800e+03,2.2089e-08
2.7825e+03,2.1973e-08
2.7850e+03,2.1858e-08
2.7875e+03,2.1743e-08
2.7900e+03,2.1628e-08
2.7925e+03,2.1513e-08
2.7950e+03,2.1398e-08
2.7975e+03,2.1283e-08
2.8000e+03,2.1168e-08
2.8025e+03,2.1111e-08
2.8050e+03,2.1053e-08
2.8075e+03,2.0995e-08
2.8100e+03,2.0938e-08
2.8125e+03,2.0880e-08
2.8150e+03,2.0823e-08
2.8175e+03,2.0765e-08
2.8200e+03,2.0708e-08
2.8225e+03,2.0696e-08
2.8250e+03,2.0685e-08
2.8275e+03,2.0673e-08
2.8300e+03,2.0662e-08
2.8325e+03,2.0650e-08
2.8350e+03,2.0639e-08
2.8375e+03,2.0627e-08
2.8400e+03,2.0616e-08
2.8425e+03,2.0569e-08
2.8450e+03,2.0521e-08
2.8475e+03,2.0474e-08
2.8500e+03,2.0427e-08
2.8525e+03,2.0380e-08
2.8550e+03,2.0333e-08
2.8575e+03,2.0286e-08
2.8600e+03,2.0238e-08
2.8625e+03,2.0238e-08
2.8650e+03,2.0238e-08
2.8675e+03,2.0238e-08
2.8700e+03,2.0238e-08
2.8725e+03,2.0238e-08
2.8750e+03,2.0238e-08
2.8775e+03,2.0238e-08
2.8800e+03,2.0238e-08
2.8825e+03,2.0170e-08
2.8850e+03,2.0103e-08
2.8875e+03,2.0035e-08
2.8900e+03,1.9967e-08
2.8925e+03,1.9899e-08
2.8950e+03,1.9831e-08
2.8975e+03,1.9764e-08
2.9000e+03,1.9696e-08
2.9025e+03,1.9614e-08
2.9050e+03,1.9532e-08
2.9075e+03,1.9450e-08
2.9100e+03,1.9369e-08
2.9125e+03,1.9287e-08
2.9150e+03,1.9205e-08
2.9175e+03,1.9124e-08
2.9200e+03,1.9042e-08
2.9225e+03,1.9020e-08
2.9250e+03,1.8998e-08
2.9275e+03,1.8977e-08
2.9300e+03,1.8955e-08
2.9325e+03,1.8933e-08
2.9350e+03,1.8911e-08
2.9375e+03,1.8889e-08
2.9400e+03,1.8867e-08
2.9425e+03,1.8787e-08
2.9450e+03,1.8706e-08
2.9475e+03,1.8626e-08
2.9500e+03,1.8545e-08
2.9525e+03,1.8464e-08
2.9550e+03,1.8384e-08
2.9575e+03,1.8303e-08
2.9600e+03,1.8223e-08
2.9625e+03,1.8223e-08
2.9650e+03,1.8223e-08
2.9675e+03,1.8223e-08
2.9700e+03,1.8223e-08
2.9725e+03,1.8223e-08
2.9750e+03,1.8223e-08
2.9775e+03,1.8223e-08
2.9800e+03,1.8223e-08
2.9825e+03,1.8176e-08
