# wavelength, f_lambda
2.2900e+02,8.6180e-16
2.3400e+02,9.6872e-15
2.4300e+02,2.5105e-14
2.5200e+02,5.8384e-14
2.5600e+02,3.6657e-14
2.6000e+02,1.1105e-13
2.6600e+02,1.4540e-13
2.7500e+02,2.6679e-13
2.8300e+02,4.5852e-13
2.9300e+02,7.7741e-13
3.0100e+02,5.8983e-13
3.0900e+02,1.1872e-12
3.2500e+02,3.4530e-12
3.4200e+02,7.3666e-12
3.5100e+02,1.0113e-11
3.5600e+02,1.1472e-11
3.6500e+02,1.6360e-11
3.7500e+02,2.1332e-11
3.8400e+02,3.0141e-11
4.0000e+02,4.7517e-11
4.1500e+02,7.1388e-11
4.2500e+02,8.7394e-11
4.4500e+02,1.4066e-10
4.7200e+02,2.3529e-10
4.9400e+02,3.5708e-10
5.0600e+02,6.1364e-09
5.1600e+02,9.4997e-09
5.4000e+02,9.4950e-09
5.6400e+02,1.1191e-08
5.8700e+02,1.1781e-08
6.1200e+02,1.3728e-08
6.4000e+02,1.5232e-08
6.7100e+02,1.6534e-08
7.0500e+02,1.8173e-08
7.3600e+02,2.0126e-08
7.7000e+02,2.2647e-08
8.1000e+02,2.3882e-08
8.5000e+02,2.3148e-08
8.9000e+02,2.6912e-08
9.2000e+02,9.2086e-08
9.4000e+02,3.0345e-07
9.6200e+02,3.3764e-07
9.8700e+02,2.9597e-07
1.0120e+03,3.3031e-07
1.0370e+03,3.5193e-07
1.0620e+03,3.1766e-07
1.0870e+03,3.3933e-07
1.1120e+03,3.1903e-07
1.1200e+03,3.1072e-07
1.1400e+03,2.9135e-07
1.1600e+03,2.8615e-07
1.1800e+03,2.5899e-07
1.2000e+03,2.1825e-07
1.2200e+03,1.5001e-07
1.2400e+03,2.4954e-07
1.2600e+03,2.7229e-07
1.2800e+03,2.9074e-07
1.3000e+03,2.7660e-07
1.3200e+03,2.6620e-07
1.3400e+03,2.4524e-07
1.3600e+03,2.5452e-07
1.3800e+03,2.5452e-07
1.4000e+03,2.0042e-07
1.4200e+03,2.2317e-07
1.4400e+03,2.1081e-07
1.4600e+03,2.1395e-07
1.4800e+03,2.1272e-07
1.5000e+03,2.0473e-07
1.5200e+03,2.1081e-07
1.5400e+03,1.7153e-07
1.5600e+03,1.5179e-07
1.5800e+03,1.6901e-07
1.6000e+03,1.5308e-07
1.6200e+03,1.3888e-07
1.6400e+03,1.3827e-07
1.6600e+03,1.3956e-07
1.6800e+03,1.4688e-07
1.7000e+03,1.3710e-07
1.7200e+03,1.2536e-07
1.7400e+03,1.3648e-07
1.7600e+03,1.2726e-07
1.7800e+03,1.2357e-07
1.8000e+03,1.1927e-07
1.8200e+03,1.1312e-07
1.8400e+03,1.0753e-07
1.8600e+03,1.0384e-07
1.8800e+03,9.7076e-08
1.9000e+03,9.4063e-08
1.9200e+03,8.9146e-08
1.9400e+03,8.3610e-08
1.9600e+03,8.2996e-08
1.9800e+03,7.9307e-08
2.0000e+03,7.6236e-08
2.0025e+03,7.5844e-08
2.0050e+03,7.5451e-08
2.0075e+03,7.5058e-08
2.0100e+03,7.4666e-08
2.0125e+03,7.4273e-08
2.0150e+03,7.3881e-08
2.0175e+03,7.3492e-08
2.0200e+03,7.3100e-08
2.0225e+03,7.2798e-08
2.0250e+03,7.2500e-08
2.0275e+03,7.2198e-08
2.0300e+03,7.1900e-08
2.0325e+03,7.1602e-08
2.0350e+03,7.1300e-08
2.0375e+03,7.1002e-08
2.0400e+03,7.0701e-08
2.0425e+03,7.0316e-08
2.0450e+03,6.9934e-08
2.0475e+03,6.9549e-08
2.0500e+03,6.9163e-08
2.0525e+03,6.8778e-08
2.0550e+03,6.8397e-08
2.0575e+03,6.8011e-08
2.0600e+03,6.7626e-08
2.0625e+03,6.7088e-08
2.0650e+03,6.6550e-08
2.0675e+03,6.6012e-08
2.0700e+03,6.5474e-08
2.0725e+03,6.4937e-08
2.0750e+03,6.4399e-08
2.0775e+03,6.3861e-08
2.0800e+03,6.3323e-08
2.0825e+03,6.3094e-08
2.0850e+03,6.2861e-08
2.0875e+03,6.2632e-08
2.0900e+03,6.2400e-08
2.0925e+03,6.2171e-08
2.0950e+03,6.1942e-08
2.0975e+03,6.1709e-08
2.1000e+03,6.1480e-08
2.1025e+03,6.1447e-08
2.1050e+03,6.1415e-08
2.1075e+03,6.1386e-08
2.1100e+03,6.1353e-08
2.1125e+03,6.1320e-08
2.1150e+03,6.1291e-08
2.1175e+03,6.1258e-08
2.1200e+03,6.1226e-08
2.1225e+03,6.0913e-08
