# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,6.0676e-20
5.1600e+02,1.1034e-19
5.4000e+02,3.9865e-19
5.6400e+02,1.2936e-18
5.8700e+02,3.6475e-18
6.1200e+02,1.0432e-17
6.4000e+02,3.1054e-17
6.7100e+02,9.3794e-17
7.0500e+02,2.8441e-16
7.3600e+02,7.1874e-16
7.7000e+02,1.8273e-15
8.1000e+02,4.9568e-15
8.5000e+02,1.2225e-14
8.9000e+02,2.7709e-14
9.2000e+02,1.6386e-12
9.4000e+02,8.4585e-12
9.6200e+02,4.5233e-11
9.8700e+02,6.0330e-10
1.0120e+03,5.4082e-10
1.0370e+03,5.7563e-10
1.0620e+03,1.8524e-09
1.0870e+03,1.9243e-09
1.1120e+03,1.0876e-08
1.1200e+03,1.1560e-08
1.1400e+03,1.1870e-08
1.1600e+03,1.2203e-08
1.1800e+03,8.7306e-09
1.2000e+03,3.4667e-09
1.2200e+03,7.2005e-10
1.2400e+03,5.5682e-09
1.2600e+03,1.0747e-08
1.2800e+03,1.4007e-08
1.3000e+03,1.3070e-08
1.3200e+03,1.5437e-08
1.3400e+03,1.5974e-08
1.3600e+03,1.6270e-08
1.3800e+03,1.5733e-08
1.4000e+03,1.5486e-08
1.4200e+03,1.5782e-08
1.4400e+03,1.5629e-08
1.4600e+03,1.7602e-08
1.4800e+03,1.6177e-08
1.5000e+03,1.7010e-08
1.5200e+03,1.7212e-08
1.5400e+03,1.6374e-08
1.5600e+03,1.6320e-08
1.5800e+03,1.4889e-08
1.6000e+03,1.4747e-08
1.6200e+03,1.3020e-08
1.6400e+03,1.2675e-08
1.6600e+03,1.2177e-08
1.6800e+03,1.2473e-08
1.7000e+03,1.2424e-08
1.7200e+03,1.1541e-08
1.7400e+03,1.1733e-08
1.7600e+03,1.1886e-08
1.7800e+03,1.1935e-08
1.8000e+03,1.2522e-08
1.8200e+03,1.1590e-08
1.8400e+03,1.0604e-08
1.8600e+03,1.0554e-08
1.8800e+03,1.0505e-08
1.9000e+03,1.0258e-08
1.9200e+03,9.9624e-09
1.9400e+03,1.0007e-08
1.9600e+03,1.0105e-08
1.9800e+03,9.4693e-09
2.0000e+03,9.0205e-09
2.0025e+03,8.9772e-09
2.0050e+03,8.9343e-09
2.0075e+03,8.8910e-09
2.0100e+03,8.8481e-09
2.0125e+03,8.8048e-09
2.0150e+03,8.7615e-09
2.0175e+03,8.7186e-09
2.0200e+03,8.6753e-09
2.0225e+03,8.6691e-09
2.0250e+03,8.6629e-09
2.0275e+03,8.6568e-09
2.0300e+03,8.6506e-09
2.0325e+03,8.6444e-09
2.0350e+03,8.6382e-09
2.0375e+03,8.6320e-09
2.0400e+03,8.6258e-09
2.0425e+03,8.5644e-09
2.0450e+03,8.5025e-09
2.0475e+03,8.4411e-09
2.0500e+03,8.3793e-09
2.0525e+03,8.3178e-09
2.0550e+03,8.2560e-09
2.0575e+03,8.1945e-09
2.0600e+03,8.1327e-09
2.0625e+03,8.0963e-09
2.0650e+03,8.0599e-09
2.0675e+03,8.0236e-09
2.0700e+03,7.9872e-09
2.0725e+03,7.9508e-09
2.0750e+03,7.9144e-09
2.0775e+03,7.8781e-09
2.0800e+03,7.8417e-09
2.0825e+03,7.8533e-09
2.0850e+03,7.8653e-09
2.0875e+03,7.8770e-09
2.0900e+03,7.8886e-09
2.0925e+03,7.9003e-09
2.0950e+03,7.9119e-09
2.0975e+03,7.9239e-09
2.1000e+03,7.9355e-09
2.1025e+03,7.9297e-09
2.1050e+03,7.9243e-09
2.1075e+03,7.9188e-09
2.1100e+03,7.9134e-09
2.1125e+03,7.9075e-09
2.1150e+03,7.9021e-09
2.1175e+03,7.8966e-09
2.1200e+03,7.8912e-09
2.1225e+03,7.8533e-09
2.1250e+03,7.8159e-09
2.1275e+03,7.7784e-09
2.1300e+03,7.7406e-09
2.1325e+03,7.7031e-09
2.1350e+03,7.6653e-09
2.1375e+03,7.6279e-09
2.1400e+03,7.5904e-09
2.1425e+03,7.5846e-09
2.1450e+03,7.5791e-09
2.1475e+03,7.5737e-09
2.1500e+03,7.5678e-09
2.1525e+03,7.5624e-09
2.1550e+03,7.5569e-09
2.1575e+03,7.5515e-09
2.1600e+03,7.5457e-09
2.1625e+03,7.5027e-09
2.1650e+03,7.4595e-09
2.1675e+03,7.4165e-09
2.1700e+03,7.3733e-09
2.1725e+03,7.3300e-09
2.1750e+03,7.2871e-09
2.1775e+03,7.2438e-09
2.1800e+03,7.2005e-09
2.1825e+03,7.1878e-09
2.1850e+03,7.1747e-09
2.1875e+03,7.1616e-09
2.1900e+03,7.1489e-09
2.1925e+03,7.1358e-09
2.1950e+03,7.1230e-09
2.1975e+03,7.1099e-09
2.2000e+03,7.0969e-09
2.2025e+03,7.0667e-09
2.2050e+03,7.0365e-09
2.2075e+03,7.0063e-09
2.2100e+03,6.9761e-09
2.2125e+03,6.9459e-09
2.2150e+03,6.9157e-09
2.2175e+03,6.8855e-09
2.2200e+03,6.8554e-09
2.2225e+03,6.8368e-09
2.2250e+03,6.8183e-09
2.2275e+03,6.7997e-09
2.2300e+03,6.7815e-09
2.2325e+03,6.7630e-09
2.2350e+03,6.7444e-09
2.2375e+03,6.7259e-09
2.2400e+03,6.7073e-09
2.2425e+03,6.6513e-09
2.2450e+03,6.5953e-09
2.2475e+03,6.5393e-09
2.2500e+03,6.4829e-09
2.2525e+03,6.4269e-09
2.2550e+03,6.3709e-09
2.2575e+03,6.3149e-09
2.2600e+03,6.2585e-09
2.2625e+03,6.2771e-09
2.2650e+03,6.2956e-09
2.2675e+03,6.3142e-09
2.2700e+03,6.3327e-09
2.2725e+03,6.3513e-09
2.2750e+03,6.3695e-09
2.2775e+03,6.3880e-09
2.2800e+03,6.4066e-09
2.2825e+03,6.3949e-09
2.2850e+03,6.3833e-09
2.2875e+03,6.3713e-09
2.2900e+03,6.3596e-09
2.2925e+03,6.3480e-09
2.2950e+03,6.3364e-09
2.2975e+03,6.3247e-09
2.3000e+03,6.3127e-09
2.3025e+03,6.2814e-09
2.3050e+03,6.2502e-09
2.3075e+03,6.2185e-09
2.3100e+03,6.1872e-09
2.3125e+03,6.1556e-09
2.3150e+03,6.1243e-09
2.3175e+03,6.0927e-09
2.3200e+03,6.0614e-09
2.3225e+03,6.0181e-09
2.3250e+03,5.9748e-09
2.3275e+03,5.9319e-09
2.3300e+03,5.8886e-09
2.3325e+03,5.8454e-09
2.3350e+03,5.8024e-09
2.3375e+03,5.7592e-09
2.3400e+03,5.7163e-09
2.3425e+03,5.6915e-09
2.3450e+03,5.6668e-09
2.3475e+03,5.6421e-09
2.3500e+03,5.6173e-09
2.3525e+03,5.5930e-09
2.3550e+03,5.5682e-09
2.3575e+03,5.5435e-09
2.3600e+03,5.5188e-09
2.3625e+03,5.4948e-09
2.3650e+03,5.4708e-09
2.3675e+03,5.4468e-09
2.3700e+03,5.4227e-09
2.3725e+03,5.3987e-09
2.3750e+03,5.3747e-09
2.3775e+03,5.3504e-09
2.3800e+03,5.3264e-09
2.3825e+03,5.3020e-09
2.3850e+03,5.2773e-09
