# wavelength, f_lambda
2.2900e+02,1.0494e-24
2.3400e+02,2.9479e-24
2.4300e+02,1.5678e-23
2.5200e+02,7.3377e-23
2.5600e+02,1.3915e-22
2.6000e+02,2.6365e-22
2.6600e+02,6.5339e-22
2.7500e+02,2.3634e-21
2.8300e+02,6.9096e-21
2.9300e+02,2.4223e-20
3.0100e+02,6.2350e-20
3.0900e+02,1.5177e-19
3.2500e+02,7.9361e-19
3.4200e+02,3.8459e-18
3.5100e+02,8.3118e-18
3.5600e+02,1.2528e-17
3.6500e+02,2.5480e-17
3.7500e+02,5.3697e-17
3.8400e+02,1.0148e-16
4.0000e+02,2.9163e-16
4.1500e+02,7.2550e-16
4.2500e+02,1.2800e-15
4.4500e+02,3.6796e-15
4.7200e+02,1.3105e-14
4.9400e+02,3.2981e-14
5.0600e+02,6.9908e-13
5.1600e+02,1.1216e-12
5.4000e+02,2.2764e-12
5.6400e+02,4.3123e-12
5.8700e+02,6.4848e-12
6.1200e+02,1.1943e-11
6.4000e+02,1.9281e-11
6.7100e+02,3.1304e-11
7.0500e+02,5.2292e-11
7.3600e+02,7.6627e-11
7.7000e+02,1.1769e-10
8.1000e+02,1.7576e-10
8.5000e+02,2.4607e-10
8.9000e+02,3.5572e-10
9.2000e+02,1.9286e-09
9.4000e+02,3.3513e-08
9.6200e+02,7.5947e-08
9.8700e+02,1.0660e-07
1.0120e+03,1.1788e-07
1.0370e+03,1.3265e-07
1.0620e+03,1.5177e-07
1.0870e+03,1.4034e-07
1.1120e+03,1.4398e-07
1.1200e+03,1.4836e-07
1.1400e+03,1.5134e-07
1.1600e+03,1.5154e-07
1.1800e+03,1.3542e-07
1.2000e+03,8.1447e-08
1.2200e+03,1.7557e-08
1.2400e+03,1.0900e-07
1.2600e+03,1.1827e-07
1.2800e+03,1.2458e-07
1.3000e+03,1.0340e-07
1.3200e+03,1.1679e-07
1.3400e+03,1.0765e-07
1.3600e+03,1.0269e-07
1.3800e+03,9.4123e-08
1.4000e+03,8.2084e-08
1.4200e+03,9.1997e-08
1.4400e+03,9.7734e-08
1.4600e+03,9.6318e-08
1.4800e+03,9.0653e-08
1.5000e+03,8.6402e-08
1.5200e+03,8.3569e-08
1.5400e+03,8.3569e-08
1.5600e+03,7.9958e-08
1.5800e+03,7.7126e-08
1.6000e+03,6.9256e-08
1.6200e+03,6.7771e-08
1.6400e+03,6.7771e-08
1.6600e+03,6.1473e-08
1.6800e+03,6.4305e-08
1.7000e+03,6.1615e-08
1.7200e+03,6.0625e-08
1.7400e+03,5.7509e-08
1.7600e+03,5.5219e-08
1.7800e+03,5.2929e-08
1.8000e+03,5.0640e-08
1.8200e+03,4.8372e-08
1.8400e+03,4.4397e-08
1.8600e+03,4.6027e-08
1.8800e+03,4.2060e-08
1.9000e+03,4.0793e-08
1.9200e+03,3.8456e-08
1.9400e+03,3.6403e-08
1.9600e+03,3.6890e-08
1.9800e+03,3.3924e-08
2.0000e+03,3.5121e-08
2.0025e+03,3.4767e-08
2.0050e+03,3.4412e-08
2.0075e+03,3.4058e-08
2.0100e+03,3.3704e-08
2.0125e+03,3.3350e-08
2.0150e+03,3.2996e-08
2.0175e+03,3.2642e-08
2.0200e+03,3.2288e-08
2.0225e+03,3.2084e-08
2.0250e+03,3.1881e-08
2.0275e+03,3.1677e-08
2.0300e+03,3.1473e-08
2.0325e+03,3.1270e-08
2.0350e+03,3.1066e-08
2.0375e+03,3.0862e-08
2.0400e+03,3.0659e-08
2.0425e+03,3.0597e-08
2.0450e+03,3.0535e-08
2.0475e+03,3.0473e-08
2.0500e+03,3.0411e-08
2.0525e+03,3.0349e-08
2.0550e+03,3.0287e-08
2.0575e+03,3.0225e-08
2.0600e+03,3.0163e-08
2.0625e+03,2.9995e-08
