# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,2.5298e-20
9.4000e+02,7.6508e-20
9.6200e+02,1.5341e-19
9.8700e+02,3.2569e-19
1.0120e+03,6.3631e-19
1.0370e+03,1.1561e-18
1.0620e+03,2.1490e-18
1.0870e+03,3.8236e-18
1.1120e+03,1.4558e-16
1.1200e+03,1.7723e-16
1.1400e+03,2.5179e-16
1.1600e+03,3.9450e-16
1.1800e+03,5.5834e-16
1.2000e+03,7.6621e-16
1.2200e+03,1.1310e-15
1.2400e+03,1.8494e-15
1.2600e+03,2.7740e-15
1.2800e+03,3.7614e-15
1.3000e+03,5.1310e-15
1.3200e+03,6.7277e-15
1.3400e+03,8.5760e-15
1.3600e+03,1.1002e-14
1.3800e+03,1.4283e-14
1.4000e+03,1.8614e-14
1.4200e+03,2.3916e-14
1.4400e+03,3.0680e-14
1.4600e+03,3.9556e-14
1.4800e+03,4.9840e-14
1.5000e+03,6.3993e-14
1.5200e+03,3.6926e-13
1.5400e+03,6.4117e-13
1.5600e+03,6.5869e-13
1.5800e+03,8.4886e-13
1.6000e+03,1.0888e-12
1.6200e+03,1.3115e-12
1.6400e+03,1.4964e-12
1.6600e+03,1.6134e-12
1.6800e+03,2.7872e-11
1.7000e+03,4.2061e-11
1.7200e+03,5.3003e-11
1.7400e+03,7.1794e-11
1.7600e+03,6.8052e-11
1.7800e+03,9.4424e-11
1.8000e+03,8.3273e-11
1.8200e+03,5.9681e-11
1.8400e+03,6.4783e-11
1.8600e+03,9.0043e-11
1.8800e+03,1.0243e-10
1.9000e+03,1.1762e-10
1.9200e+03,1.3914e-10
1.9400e+03,1.1362e-10
1.9600e+03,1.1427e-10
1.9800e+03,1.7443e-10
2.0000e+03,1.7782e-10
2.0025e+03,1.7479e-10
2.0050e+03,1.7175e-10
2.0075e+03,1.6872e-10
2.0100e+03,1.6569e-10
2.0125e+03,1.6265e-10
2.0150e+03,1.5962e-10
2.0175e+03,1.5658e-10
2.0200e+03,1.5355e-10
2.0225e+03,1.5576e-10
2.0250e+03,1.5798e-10
2.0275e+03,1.6019e-10
2.0300e+03,1.6240e-10
2.0325e+03,1.6462e-10
2.0350e+03,1.6683e-10
2.0375e+03,1.6904e-10
2.0400e+03,1.7125e-10
2.0425e+03,1.7033e-10
2.0450e+03,1.6940e-10
2.0475e+03,1.6847e-10
2.0500e+03,1.6754e-10
2.0525e+03,1.6662e-10
2.0550e+03,1.6569e-10
2.0575e+03,1.6477e-10
2.0600e+03,1.6384e-10
2.0625e+03,1.6772e-10
2.0650e+03,1.7161e-10
2.0675e+03,1.7550e-10
2.0700e+03,1.7938e-10
2.0725e+03,1.8327e-10
2.0750e+03,1.8716e-10
2.0775e+03,1.9105e-10
2.0800e+03,1.9493e-10
2.0825e+03,1.9538e-10
2.0850e+03,1.9583e-10
2.0875e+03,1.9628e-10
2.0900e+03,1.9673e-10
2.0925e+03,1.9717e-10
2.0950e+03,1.9762e-10
2.0975e+03,1.9807e-10
2.1000e+03,1.9852e-10
2.1025e+03,1.9985e-10
2.1050e+03,2.0118e-10
2.1075e+03,2.0251e-10
2.1100e+03,2.0384e-10
2.1125e+03,2.0517e-10
2.1150e+03,2.0650e-10
2.1175e+03,2.0783e-10
2.1200e+03,2.0916e-10
2.1225e+03,2.1037e-10
2.1250e+03,2.1158e-10
2.1275e+03,2.1279e-10
2.1300e+03,2.1401e-10
2.1325e+03,2.1522e-10
2.1350e+03,2.1643e-10
2.1375e+03,2.1764e-10
2.1400e+03,2.1885e-10
2.1425e+03,2.1913e-10
2.1450e+03,2.1942e-10
2.1475e+03,2.1970e-10
2.1500e+03,2.1998e-10
2.1525e+03,2.2027e-10
2.1550e+03,2.2055e-10
2.1575e+03,2.2084e-10
2.1600e+03,2.2112e-10
2.1625e+03,2.2338e-10
2.1650e+03,2.2564e-10
2.1675e+03,2.2789e-10
2.1700e+03,2.3015e-10
2.1725e+03,2.3241e-10
2.1750e+03,2.3466e-10
2.1775e+03,2.3692e-10
2.1800e+03,2.3918e-10
2.1825e+03,2.4411e-10
2.1850e+03,2.4904e-10
2.1875e+03,2.5398e-10
2.1900e+03,2.5891e-10
2.1925e+03,2.6385e-10
2.1950e+03,2.6878e-10
2.1975e+03,2.7371e-10
2.2000e+03,2.7864e-10
2.2025e+03,2.7775e-10
2.2050e+03,2.7685e-10
2.2075e+03,2.7595e-10
2.2100e+03,2.7505e-10
2.2125e+03,2.7416e-10
2.2150e+03,2.7326e-10
2.2175e+03,2.7237e-10
2.2200e+03,2.7147e-10
2.2225e+03,2.7160e-10
2.2250e+03,2.7174e-10
2.2275e+03,2.7187e-10
2.2300e+03,2.7201e-10
2.2325e+03,2.7214e-10
2.2350e+03,2.7227e-10
2.2375e+03,2.7241e-10
2.2400e+03,2.7255e-10
2.2425e+03,2.7419e-10
2.2450e+03,2.7583e-10
2.2475e+03,2.7748e-10
2.2500e+03,2.7912e-10
2.2525e+03,2.8077e-10
2.2550e+03,2.8241e-10
2.2575e+03,2.8405e-10
2.2600e+03,2.8570e-10
2.2625e+03,2.8078e-10
2.2650e+03,2.7586e-10
2.2675e+03,2.7094e-10
2.2700e+03,2.6603e-10
2.2725e+03,2.6111e-10
2.2750e+03,2.5619e-10
2.2775e+03,2.5127e-10
2.2800e+03,2.4635e-10
2.2825e+03,2.5023e-10
2.2850e+03,2.5410e-10
2.2875e+03,2.5797e-10
2.2900e+03,2.6184e-10
2.2925e+03,2.6571e-10
2.2950e+03,2.6958e-10
2.2975e+03,2.7346e-10
2.3000e+03,2.7733e-10
2.3025e+03,2.7645e-10
2.3050e+03,2.7556e-10
2.3075e+03,2.7468e-10
2.3100e+03,2.7380e-10
2.3125e+03,2.7292e-10
2.3150e+03,2.7204e-10
2.3175e+03,2.7116e-10
2.3200e+03,2.7027e-10
2.3225e+03,2.6594e-10
2.3250e+03,2.6160e-10
2.3275e+03,2.5727e-10
2.3300e+03,2.5293e-10
2.3325e+03,2.4860e-10
2.3350e+03,2.4426e-10
2.3375e+03,2.3993e-10
2.3400e+03,2.3559e-10
2.3425e+03,2.3079e-10
2.3450e+03,2.2599e-10
2.3475e+03,2.2120e-10
2.3500e+03,2.1640e-10
2.3525e+03,2.1160e-10
2.3550e+03,2.0680e-10
2.3575e+03,2.0200e-10
2.3600e+03,1.9720e-10
2.3625e+03,1.9601e-10
2.3650e+03,1.9481e-10
2.3675e+03,1.9362e-10
2.3700e+03,1.9242e-10
2.3725e+03,1.9123e-10
2.3750e+03,1.9003e-10
2.3775e+03,1.8883e-10
2.3800e+03,1.8764e-10
2.3825e+03,1.8151e-10
2.3850e+03,1.7538e-10
