# wavelength, f_lambda
2.2900e+02,1.3295e-24
2.3400e+02,3.7345e-24
2.4300e+02,1.9863e-23
2.5200e+02,9.2963e-23
2.5600e+02,1.7629e-22
2.6000e+02,3.3402e-22
2.6600e+02,8.2782e-22
2.7500e+02,2.9942e-21
2.8300e+02,8.7540e-21
2.9300e+02,3.0689e-20
3.0100e+02,7.8993e-20
3.0900e+02,1.9228e-19
3.2500e+02,1.0054e-18
3.4200e+02,4.8727e-18
3.5100e+02,1.0530e-17
3.5600e+02,1.5871e-17
3.6500e+02,3.2280e-17
3.7500e+02,6.8030e-17
3.8400e+02,1.2856e-16
4.0000e+02,3.6949e-16
4.1500e+02,9.1915e-16
4.2500e+02,1.6216e-15
4.4500e+02,4.6616e-15
4.7200e+02,1.6603e-14
4.9400e+02,4.1786e-14
5.0600e+02,8.8566e-13
5.1600e+02,1.4210e-12
5.4000e+02,2.8840e-12
5.6400e+02,5.4631e-12
5.8700e+02,8.2156e-12
6.1200e+02,1.5131e-11
6.4000e+02,2.4427e-11
6.7100e+02,3.9660e-11
7.0500e+02,6.6250e-11
7.3600e+02,9.7080e-11
7.7000e+02,1.4910e-10
8.1000e+02,2.2267e-10
8.5000e+02,3.1175e-10
8.9000e+02,4.5066e-10
9.2000e+02,2.4434e-09
9.4000e+02,4.2459e-08
9.6200e+02,9.6217e-08
9.8700e+02,1.3506e-07
1.0120e+03,1.4935e-07
1.0370e+03,1.6805e-07
1.0620e+03,1.9228e-07
1.0870e+03,1.7780e-07
1.1120e+03,1.8241e-07
1.1200e+03,1.8795e-07
1.1400e+03,1.9173e-07
1.1600e+03,1.9199e-07
1.1800e+03,1.7157e-07
1.2000e+03,1.0318e-07
1.2200e+03,2.2243e-08
1.2400e+03,1.3809e-07
1.2600e+03,1.4984e-07
1.2800e+03,1.5783e-07
1.3000e+03,1.3100e-07
1.3200e+03,1.4796e-07
1.3400e+03,1.3638e-07
1.3600e+03,1.3010e-07
1.3800e+03,1.1925e-07
1.4000e+03,1.0399e-07
1.4200e+03,1.1655e-07
1.4400e+03,1.2382e-07
1.4600e+03,1.2203e-07
1.4800e+03,1.1485e-07
1.5000e+03,1.0947e-07
1.5200e+03,1.0588e-07
1.5400e+03,1.0588e-07
1.5600e+03,1.0130e-07
1.5800e+03,9.7710e-08
1.6000e+03,8.7743e-08
1.6200e+03,8.5858e-08
1.6400e+03,8.5858e-08
1.6600e+03,7.7883e-08
1.6800e+03,8.1472e-08
1.7000e+03,7.8061e-08
1.7200e+03,7.6806e-08
