# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,2.8677e-21
9.4000e+02,9.6912e-21
9.6200e+02,2.0625e-20
9.8700e+02,4.6274e-20
1.0120e+03,9.4181e-20
1.0370e+03,1.7724e-19
1.0620e+03,3.4311e-19
1.0870e+03,6.3849e-19
1.1120e+03,1.0454e-17
1.1200e+03,1.2862e-17
1.1400e+03,1.8611e-17
1.1600e+03,2.9414e-17
1.1800e+03,4.2466e-17
1.2000e+03,5.9701e-17
1.2200e+03,8.8255e-17
1.2400e+03,1.3457e-16
1.2600e+03,1.9330e-16
1.2800e+03,2.6471e-16
1.3000e+03,3.6620e-16
1.3200e+03,4.8619e-16
1.3400e+03,6.2717e-16
1.3600e+03,8.1492e-16
1.3800e+03,1.0757e-15
1.4000e+03,1.4179e-15
1.4200e+03,1.8460e-15
1.4400e+03,2.4001e-15
1.4600e+03,3.1275e-15
1.4800e+03,3.9965e-15
1.5000e+03,5.1821e-15
1.5200e+03,4.2159e-14
1.5400e+03,7.5781e-14
1.5600e+03,7.8852e-14
1.5800e+03,1.0088e-13
1.6000e+03,1.3069e-13
1.6200e+03,1.6052e-13
1.6400e+03,1.8688e-13
1.6600e+03,2.0448e-13
1.6800e+03,2.6291e-12
1.7000e+03,4.0085e-12
1.7200e+03,5.0039e-12
1.7400e+03,6.5955e-12
1.7600e+03,6.4991e-12
1.7800e+03,9.0040e-12
1.8000e+03,8.5315e-12
1.8200e+03,6.9296e-12
1.8400e+03,7.2145e-12
1.8600e+03,9.2819e-12
1.8800e+03,1.0704e-11
1.9000e+03,1.2491e-11
1.9200e+03,1.4935e-11
1.9400e+03,1.3250e-11
1.9600e+03,1.3378e-11
1.9800e+03,1.8898e-11
2.0000e+03,1.9846e-11
2.0025e+03,2.0955e-11
2.0050e+03,2.6009e-11
2.0075e+03,2.7778e-11
2.0100e+03,2.8703e-11
2.0125e+03,2.8932e-11
2.0150e+03,2.9047e-11
2.0175e+03,2.8569e-11
2.0200e+03,2.8400e-11
2.0225e+03,2.8476e-11
2.0250e+03,2.8466e-11
2.0275e+03,2.8453e-11
2.0300e+03,2.9659e-11
2.0325e+03,3.1521e-11
2.0350e+03,3.4642e-11
2.0375e+03,3.6671e-11
2.0400e+03,3.7975e-11
2.0425e+03,3.8858e-11
2.0450e+03,3.9351e-11
2.0475e+03,4.0114e-11
2.0500e+03,4.0702e-11
2.0525e+03,4.0867e-11
2.0550e+03,4.0885e-11
2.0575e+03,4.0428e-11
2.0600e+03,4.1056e-11
2.0625e+03,4.2349e-11
2.0650e+03,4.4785e-11
2.0675e+03,4.7224e-11
2.0700e+03,4.8283e-11
2.0725e+03,4.9652e-11
2.0750e+03,5.1675e-11
2.0775e+03,5.4322e-11
2.0800e+03,5.7261e-11
2.0825e+03,6.1026e-11
2.0850e+03,6.5342e-11
2.0875e+03,6.5050e-11
2.0900e+03,6.5462e-11
2.0925e+03,6.6930e-11
2.0950e+03,6.8015e-11
2.0975e+03,6.8274e-11
2.1000e+03,6.8537e-11
2.1025e+03,6.7485e-11
2.1050e+03,7.4357e-11
2.1075e+03,7.1874e-11
2.1100e+03,7.0228e-11
2.1125e+03,7.5719e-11
2.1150e+03,8.3752e-11
2.1175e+03,9.5342e-11
2.1200e+03,9.3509e-11
2.1225e+03,7.4175e-11
2.1250e+03,6.7588e-11
2.1275e+03,7.7618e-11
2.1300e+03,8.0232e-11
2.1325e+03,7.7855e-11
2.1350e+03,7.9389e-11
2.1375e+03,8.3380e-11
2.1400e+03,9.2950e-11
2.1425e+03,1.0746e-10
2.1450e+03,1.0876e-10
2.1475e+03,9.9607e-11
2.1500e+03,9.7620e-11
2.1525e+03,1.0054e-10
2.1550e+03,9.6039e-11
2.1575e+03,8.3256e-11
2.1600e+03,8.5293e-11
2.1625e+03,9.4217e-11
2.1650e+03,8.5184e-11
2.1675e+03,7.6329e-11
2.1700e+03,8.2270e-11
2.1725e+03,8.6232e-11
2.1750e+03,8.3329e-11
2.1775e+03,9.4199e-11
2.1800e+03,1.1777e-10
2.1825e+03,1.2432e-10
2.1850e+03,1.1013e-10
2.1875e+03,9.8968e-11
2.1900e+03,1.0578e-10
2.1925e+03,1.1897e-10
2.1950e+03,1.2092e-10
2.1975e+03,1.1909e-10
2.2000e+03,1.2271e-10
2.2025e+03,1.3240e-10
2.2050e+03,1.2777e-10
2.2075e+03,1.0139e-10
2.2100e+03,8.6549e-11
2.2125e+03,9.3794e-11
2.2150e+03,9.6434e-11
2.2175e+03,9.8164e-11
2.2200e+03,1.1614e-10
2.2225e+03,1.2689e-10
2.2250e+03,1.2227e-10
2.2275e+03,1.2111e-10
2.2300e+03,1.3300e-10
2.2325e+03,1.5988e-10
2.2350e+03,1.7407e-10
2.2375e+03,1.6066e-10
2.2400e+03,1.4528e-10
2.2425e+03,1.3421e-10
2.2450e+03,1.3789e-10
2.2475e+03,1.4786e-10
2.2500e+03,1.4079e-10
2.2525e+03,1.3045e-10
2.2550e+03,1.2530e-10
2.2575e+03,1.2212e-10
2.2600e+03,1.1778e-10
2.2625e+03,1.0820e-10
2.2650e+03,9.3965e-11
2.2675e+03,8.2894e-11
2.2700e+03,8.0386e-11
2.2725e+03,8.5611e-11
2.2750e+03,9.4090e-11
2.2775e+03,1.0497e-10
2.2800e+03,1.2206e-10
2.2825e+03,1.3416e-10
2.2850e+03,1.2995e-10
2.2875e+03,1.1850e-10
2.2900e+03,1.1334e-10
2.2925e+03,1.1786e-10
2.2950e+03,1.1892e-10
2.2975e+03,1.0560e-10
2.3000e+03,9.9545e-11
2.3025e+03,1.1367e-10
2.3050e+03,1.3818e-10
2.3075e+03,1.4263e-10
2.3100e+03,1.1464e-10
2.3125e+03,1.0305e-10
2.3150e+03,1.2061e-10
2.3175e+03,1.2461e-10
2.3200e+03,1.1916e-10
2.3225e+03,1.3055e-10
2.3250e+03,1.2981e-10
2.3275e+03,1.1891e-10
2.3300e+03,1.1295e-10
2.3325e+03,1.0765e-10
2.3350e+03,1.0884e-10
2.3375e+03,1.0141e-10
2.3400e+03,9.6098e-11
2.3425e+03,8.9460e-11
2.3450e+03,8.0119e-11
2.3475e+03,8.9748e-11
2.3500e+03,1.1411e-10
2.3525e+03,1.3058e-10
2.3550e+03,1.3322e-10
2.3575e+03,1.2451e-10
2.3600e+03,1.1102e-10
2.3625e+03,1.0940e-10
2.3650e+03,1.0775e-10
2.3675e+03,1.1081e-10
2.3700e+03,1.2570e-10
2.3725e+03,1.2358e-10
2.3750e+03,1.1686e-10
2.3775e+03,1.1412e-10
2.3800e+03,9.3746e-11
2.3825e+03,8.2697e-11
2.3850e+03,9.5313e-11
