# # wavelength, f_lambda
3.100000000000000000e+04,3.378514380998959510e-17
3.110000000000000000e+04,3.279333552837542520e-17
3.120000000000000000e+04,3.184432544091058188e-17
3.130000000000000000e+04,3.102915742857433929e-17
3.140000000000000000e+04,3.016289893464238140e-17
3.150000000000000000e+04,2.791718127407407648e-17
3.160000000000000000e+04,2.575928626862682473e-17
3.170000000000000000e+04,2.365785500840888121e-17
3.180000000000000000e+04,2.158230582492780935e-17
3.190000000000000000e+04,1.962065791688368409e-17
3.200000000000000000e+04,1.850281576718749753e-17
3.210000000000000000e+04,1.739850058559214089e-17
3.220000000000000364e+04,1.633643944774506821e-17
3.230000000000000000e+04,1.525844158364404901e-17
3.240000000000000364e+04,1.433621150701112051e-17
3.250000000000000000e+04,1.413459352274556041e-17
3.259999999999999636e+04,1.393517579246490667e-17
3.270000000000000000e+04,1.370989272900709534e-17
3.280000000000000000e+04,1.348709377528256910e-17
3.290000000000000000e+04,1.318365591670439128e-17
3.300000000000000000e+04,1.299375942846648127e-17
3.310000000000000000e+04,1.283327669535692350e-17
3.320000000000000000e+04,1.264729033332123702e-17
3.330000000000000000e+04,1.249033859048237450e-17
3.340000000000000000e+04,1.236191067087382095e-17
3.350000000000000000e+04,1.220807781742035958e-17
3.360000000000000000e+04,1.200274509424603171e-17
3.370000000000000000e+04,1.185242571846190603e-17
3.380000000000000000e+04,1.167743109572493769e-17
3.390000000000000000e+04,1.139994467033875331e-17
3.400000000000000000e+04,1.115144956228373811e-17
3.410000000000000000e+04,1.093145072642994060e-17
3.420000000000000000e+04,1.076509287986047020e-17
3.430000000000000000e+04,1.054952252989825642e-17
3.440000000000000000e+04,1.033627322742022689e-17
3.450000000000000000e+04,1.012531553169502188e-17
3.460000000000000000e+04,9.916620449062781495e-18
3.470000000000000000e+04,9.710159424959928295e-18
3.480000000000000000e+04,9.505904336107808058e-18
3.490000000000000000e+04,9.303827482861389204e-18
3.500000000000000000e+04,9.103901581714283006e-18
3.510000000000000000e+04,8.906099757956510080e-18
3.520000000000000000e+04,8.734591081643852222e-18
3.530000000000000000e+04,8.733290713672364308e-18
3.540000000000000000e+04,9.473476121804077950e-18
3.550000000000000000e+04,1.020519456314223473e-17
3.560000000000000000e+04,1.092855349671758765e-17
3.570000000000000000e+04,1.162013623111989759e-17
3.580000000000000000e+04,1.228044072048312940e-17
3.590000000000000000e+04,1.295647916341430973e-17
3.600000000000000000e+04,1.360169485370370513e-17
3.610000000000000000e+04,1.423957240214546979e-17
3.620000000000000000e+04,1.452704517795549641e-17
3.630000000000000000e+04,1.465187889048258619e-17
3.640000000000000000e+04,1.479774993448858669e-17
3.650000000000000000e+04,1.487429647123287482e-17
3.651209999999999854e+04,1.499936634434288974e-17
3.652420000000000437e+04,1.514674015200642307e-17
3.653630000000000291e+04,1.527145744857215994e-17
3.654840000000000146e+04,1.541844945044753973e-17
3.656050000000000000e+04,1.556524354617797966e-17
3.657259999999999854e+04,1.568942656549912023e-17
3.658469999999999709e+04,1.583584056076810602e-17
3.659679999999999563e+04,1.598205752239375719e-17
3.660890000000000146e+04,1.612807774508464717e-17
3.662100000000000000e+04,1.627390152302862724e-17
3.663309999999999854e+04,1.641952914989385265e-17
3.664519999999999709e+04,1.656496091882989508e-17
3.665730000000000291e+04,1.671019712246878718e-17
3.666940000000000146e+04,1.685523805292614127e-17
3.668150000000000000e+04,1.700008400180215069e-17
3.669359999999999854e+04,1.714473526018269310e-17
3.670570000000000437e+04,1.731144333114828733e-17
3.671780000000000291e+04,1.745569141681119919e-17
3.672990000000000146e+04,1.762196759778199971e-17
3.674200000000000000e+04,1.776581372684293159e-17
3.675409999999999854e+04,1.793165928969733902e-17
3.676620000000000437e+04,1.807510467396675466e-17
3.677830000000000291e+04,1.824052088613449641e-17
3.679040000000000146e+04,1.840571560871761596e-17
3.680250000000000000e+04,1.857068917128845609e-17
3.681459999999999854e+04,1.873544190284003674e-17
3.682669999999999709e+04,1.889997413178726609e-17
3.683879999999999563e+04,1.906428618596812074e-17
3.685090000000000146e+04,1.922837839264481669e-17
3.686300000000000000e+04,1.939225107850503881e-17
3.687509999999999854e+04,1.955590456966305641e-17
3.688719999999999709e+04,1.974137197288069403e-17
3.689930000000000291e+04,1.990457360310153902e-17
3.691140000000000146e+04,2.008956092799018846e-17
3.692350000000000000e+04,2.025231205166638490e-17
3.693559999999999854e+04,2.043682070701873565e-17
3.694770000000000437e+04,2.062108335892813371e-17
3.695980000000000291e+04,2.078315406347679573e-17
3.697190000000000146e+04,2.096694016396737174e-17
3.698400000000000000e+04,2.115048133848176872e-17
3.699609999999999854e+04,2.133377794961979698e-17
3.700820000000000437e+04,2.151683035934716132e-17
3.702030000000000291e+04,2.169963892899682000e-17
3.703240000000000146e+04,2.188220401927019881e-17
3.704450000000000000e+04,2.208637205557539985e-17
3.705659999999999854e+04,2.226843700232681894e-17
3.706869999999999709e+04,2.247207711259122625e-17
3.708079999999999563e+04,2.265364340690936620e-17
3.709290000000000146e+04,2.285675713543563167e-17
3.710500000000000000e+04,2.303782626318516976e-17
3.711709999999999854e+04,2.324041514891707755e-17
3.712919999999999709e+04,2.344273509827234026e-17
3.714130000000000291e+04,2.364478650784451333e-17
3.715340000000000146e+04,2.384656977353637812e-17
3.716550000000000000e+04,2.404808529056126081e-17
3.717759999999999854e+04,2.424933345344448688e-17
3.718970000000000437e+04,2.445031465602477080e-17
3.720180000000000291e+04,2.467269100436551565e-17
3.721390000000000146e+04,2.487312538091073785e-17
3.722600000000000000e+04,2.509492754652487002e-17
3.723809999999999854e+04,2.529481671907629461e-17
3.725020000000000437e+04,2.551604637606474877e-17
3.726230000000000291e+04,2.573698339002554430e-17
3.727440000000000146e+04,2.593605077768326540e-17
3.728650000000000000e+04,2.615641779697704817e-17
3.729859999999999854e+04,2.637649344743204483e-17
3.731069999999999709e+04,2.659627815684850730e-17
3.732279999999999563e+04,2.683729383892389802e-17
3.733490000000000146e+04,2.705648399900893433e-17
3.734700000000000000e+04,2.727538451056549563e-17
3.735909999999999854e+04,2.751547548263533500e-17
3.737119999999999709e+04,2.773378406379346002e-17
3.738330000000000291e+04,2.797325616575438294e-17
3.739540000000000146e+04,2.821241256737505402e-17
3.740750000000000000e+04,2.842982959408319055e-17
3.741959999999999854e+04,2.866836983421923211e-17
3.743170000000000437e+04,2.890659574500576792e-17
3.744380000000000291e+04,2.914450778633972627e-17
3.745590000000000146e+04,2.940347522199046060e-17
3.746800000000000000e+04,2.964074710138188588e-17
3.748009999999999854e+04,2.987770649961253065e-17
3.749220000000000437e+04,3.013568131947877874e-17
3.750430000000000291e+04,3.037200336521697494e-17
3.751640000000000146e+04,3.062931425124309880e-17
3.752850000000000000e+04,3.088628702570376348e-17
3.754059999999999854e+04,3.114292218197949282e-17
3.755269999999999709e+04,3.139922021260046791e-17
3.756479999999999563e+04,3.165518160924819724e-17
3.757690000000000146e+04,3.191080686275731634e-17
3.758900000000000000e+04,3.216609646311723322e-17
3.760109999999999854e+04,3.244225498770108912e-17
3.761319999999999709e+04,3.269686110803011242e-17
3.762530000000000291e+04,3.297230987400992736e-17
3.763740000000000146e+04,3.324739772346131700e-17
3.764950000000000000e+04,3.352212518152802451e-17
3.766159999999999854e+04,3.377535675445724795e-17
3.767370000000000437e+04,3.404937857628609331e-17
3.768580000000000291e+04,3.434415044533086353e-17
3.769790000000000146e+04,3.461744157127361916e-17
3.771000000000000000e+04,3.489037491804930686e-17
3.772209999999999854e+04,3.518401928043214019e-17
3.773420000000000437e+04,3.545622511774108567e-17
3.774630000000000291e+04,3.574911601445777603e-17
3.775840000000000146e+04,3.604162425156977486e-17
3.777050000000000000e+04,3.633375038413007364e-17
3.778259999999999854e+04,3.662549496624082763e-17
3.779469999999999709e+04,3.691685855105518008e-17
3.780679999999999563e+04,3.720784169077924055e-17
3.781890000000000146e+04,3.751940549840487131e-17
3.783100000000000000e+04,3.780961599473262874e-17
3.784309999999999854e+04,3.812038147226016999e-17
3.785519999999999709e+04,3.840982157409506539e-17
3.786730000000000291e+04,3.871979101796788407e-17
3.787940000000000146e+04,3.902935662637211521e-17
3.789150000000000000e+04,3.933851898327979944e-17
3.790359999999999854e+04,3.966814566044026671e-17
3.791570000000000437e+04,3.997648994588591234e-17
3.792780000000000291e+04,4.028443273851830842e-17
3.793990000000000146e+04,4.061280169610892451e-17
3.795200000000000000e+04,4.094074376341781634e-17
3.796409999999999854e+04,4.124745902247871963e-17
3.797620000000000437e+04,4.157456240927337352e-17
3.798830000000000291e+04,4.192201477925005733e-17
3.800040000000000146e+04,4.224825543578602565e-17
3.801250000000000000e+04,4.257407227198256658e-17
3.802459999999999854e+04,4.292020029497237715e-17
3.803669999999999709e+04,4.324515813231739044e-17
3.804879999999999563e+04,4.359040202081594478e-17
3.806090000000000146e+04,4.393519820962886289e-17
3.807300000000000000e+04,4.427954734309743634e-17
3.808509999999999854e+04,4.462345006446776507e-17
3.809719999999999709e+04,4.496690701589295759e-17
3.810930000000000291e+04,4.530991883843529417e-17
3.812140000000000146e+04,4.567311540215076740e-17
3.813350000000000000e+04,4.603584193685918869e-17
3.814559999999999854e+04,4.637749605417463783e-17
3.815770000000000437e+04,4.673929761981995296e-17
3.816980000000000291e+04,4.710063116609827110e-17
3.818190000000000146e+04,4.748206127176540139e-17
3.819400000000000000e+04,4.784244776604796372e-17
3.820609999999999854e+04,4.820236826518157943e-17
3.821820000000000437e+04,4.858234829947061125e-17
3.823030000000000291e+04,4.896183769353424138e-17
3.824240000000000146e+04,4.934083715042418576e-17
3.825450000000000000e+04,4.971934737200249642e-17
3.826659999999999854e+04,5.009736905894384186e-17
3.827869999999999709e+04,5.047490291073795368e-17
3.829079999999999563e+04,5.087239673048712977e-17
3.830290000000000146e+04,5.124894408916578490e-17
3.831500000000000000e+04,5.164542700022202597e-17
3.832709999999999854e+04,5.204139909029342288e-17
3.833919999999999709e+04,5.243686108957787443e-17
3.835130000000000291e+04,5.283181372704061643e-17
3.836340000000000146e+04,5.324662751906224397e-17
3.837550000000000000e+04,5.364055077147828196e-17
3.838759999999999854e+04,5.405431096776664403e-17
3.839970000000000437e+04,5.446753907972432790e-17
3.841180000000000291e+04,5.488023586651222968e-17
3.842390000000000146e+04,5.529240208601215068e-17
3.843600000000000000e+04,5.570403849482936732e-17
3.844809999999999854e+04,5.613542598774162293e-17
3.846020000000000437e+04,5.654599228121530355e-17
3.847230000000000291e+04,5.697628567230644197e-17
3.848440000000000146e+04,5.740602680915665759e-17
3.849650000000000000e+04,5.783521647802964203e-17
3.850859999999999854e+04,5.826385546386715325e-17
3.852069999999999709e+04,5.871214831777897260e-17
3.853279999999999563e+04,5.913967560038799067e-17
3.854490000000000146e+04,5.958683296484366061e-17
3.855700000000000000e+04,6.003341745913209913e-17
3.856909999999999854e+04,6.047942989735771112e-17
3.858119999999999709e+04,6.092487109225886554e-17
3.859330000000000291e+04,6.138986968133555387e-17
3.860540000000000146e+04,6.183415820709452506e-17
3.861750000000000000e+04,6.229798053889730178e-17
3.862959999999999854e+04,6.276120969344400513e-17
3.864170000000000437e+04,6.322384651214780218e-17
3.865380000000000291e+04,6.368589183501258462e-17
3.866590000000000146e+04,6.416739881276462376e-17
3.867800000000000000e+04,6.462825111399781251e-17
3.869009999999999854e+04,6.510854167795603359e-17
3.870220000000000437e+04,6.558821906216312880e-17
3.871430000000000291e+04,6.606728413481759349e-17
3.872640000000000146e+04,6.656572747061555505e-17
3.873850000000000000e+04,6.704355803330639630e-17
3.875059999999999854e+04,6.754074364037865422e-17
3.876269999999999709e+04,6.803729548133170136e-17
3.877479999999999563e+04,6.853321445211560503e-17
3.878690000000000146e+04,6.902850144718488788e-17
3.879900000000000000e+04,6.952315735950149841e-17
3.881109999999999854e+04,7.003708563400002265e-17
3.882319999999999709e+04,7.055035979900958551e-17
3.883529999999999563e+04,7.106298077780932966e-17
3.884740000000000146e+04,7.157494949213950269e-17
3.885950000000000000e+04,7.208626686220478514e-17
3.887159999999999854e+04,7.259693380667694059e-17
3.888370000000000437e+04,7.312677954517768944e-17
3.889580000000000291e+04,7.365595202132649902e-17
3.890790000000000146e+04,7.418445218373337801e-17
3.892000000000000000e+04,7.471228097943021885e-17
3.893209999999999854e+04,7.525921838630144261e-17
3.894420000000000437e+04,7.580546173816652620e-17
3.895630000000000291e+04,7.633125754545047519e-17
3.896840000000000146e+04,7.687612798160596595e-17
3.898050000000000000e+04,7.744003722224908901e-17
3.899259999999999854e+04,7.798351410451275513e-17
3.900469999999999709e+04,7.854600726985770065e-17
3.901679999999999563e+04,7.910778777522507390e-17
3.902890000000000146e+04,7.966885662168156995e-17
3.904100000000000000e+04,8.022921480863373843e-17
3.905309999999999854e+04,8.078886333383102800e-17
3.906519999999999709e+04,8.136744767614951667e-17
3.907729999999999563e+04,8.194530001993953280e-17
3.908940000000000146e+04,8.252242139188053201e-17
3.910150000000000000e+04,8.309881281695190067e-17
3.911359999999999854e+04,8.369407121429527217e-17
3.912570000000000437e+04,8.426899369521608311e-17
3.913780000000000291e+04,8.486276097524230630e-17
3.914990000000000146e+04,8.545577821039934092e-17
3.916200000000000000e+04,8.606759393980359527e-17
3.917409999999999854e+04,8.665910216022631846e-17
3.918620000000000437e+04,8.726938684495603329e-17
3.919830000000000291e+04,8.787890158347629042e-17
3.921040000000000146e+04,8.848764745246069160e-17
3.922250000000000000e+04,8.909562552680541169e-17
3.923459999999999854e+04,8.972231209389218412e-17
3.924669999999999709e+04,9.034820899719988730e-17
3.925879999999999563e+04,9.097331733961335776e-17
3.927090000000000146e+04,9.159763822219895971e-17
3.928300000000000000e+04,9.224059999778802067e-17
3.929509999999999854e+04,9.286333729417265332e-17
3.930719999999999709e+04,9.350469377374813618e-17
3.931929999999999563e+04,9.416463470909765763e-17
3.933140000000000146e+04,9.480436649741759228e-17
3.934350000000000000e+04,9.546266115302214011e-17
3.935559999999999854e+04,9.610077278694743450e-17
3.936770000000000437e+04,9.675742573618622317e-17
3.937980000000000291e+04,9.743258546203385072e-17
3.939190000000000146e+04,9.808757751426849669e-17
3.940400000000000000e+04,9.876105491143485371e-17
3.941609999999999854e+04,9.943368696900857609e-17
3.942820000000000437e+04,1.001054748627259159e-16
3.944030000000000291e+04,1.007956923653153667e-16
3.945240000000000146e+04,1.014657836308614263e-16
3.946450000000000000e+04,1.021542832289570133e-16
3.947659999999999854e+04,1.028611569329602339e-16
3.948869999999999709e+04,1.035479198107875395e-16
3.950079999999999563e+04,1.042530356367414685e-16
3.951290000000000146e+04,1.049380666242970592e-16
3.952500000000000000e+04,1.056606195246605335e-16
3.953709999999999854e+04,1.063630900349276449e-16
3.954919999999999709e+04,1.070838478278591627e-16
3.956129999999999563e+04,1.077845491808104546e-16
3.957340000000000146e+04,1.085226600042028543e-16
3.958550000000000000e+04,1.092407168843799829e-16
3.959759999999999854e+04,1.099769957373496938e-16
3.960970000000000437e+04,1.106932465593661512e-16
3.962180000000000291e+04,1.114276985007760749e-16
3.963390000000000146e+04,1.121803178259440610e-16
3.964600000000000000e+04,1.129129246029347377e-16
3.965809999999999854e+04,1.136636780261204866e-16
3.967020000000000437e+04,1.144134946157392032e-16
3.968230000000000291e+04,1.151814139169116739e-16
3.969440000000000146e+04,1.159293491168949534e-16
3.970650000000000000e+04,1.166953664229897261e-16
3.971859999999999854e+04,1.174604289053071251e-16
3.973069999999999709e+04,1.182435297756759187e-16
3.974279999999999563e+04,1.190256553311160590e-16
3.975490000000000146e+04,1.197878381383946508e-16
