# wavelength, f_lambda
2.2900e+02,0.0000e+00
2.3400e+02,0.0000e+00
2.4300e+02,0.0000e+00
2.5200e+02,0.0000e+00
2.5600e+02,0.0000e+00
2.6000e+02,0.0000e+00
2.6600e+02,0.0000e+00
2.7500e+02,0.0000e+00
2.8300e+02,0.0000e+00
2.9300e+02,0.0000e+00
3.0100e+02,0.0000e+00
3.0900e+02,0.0000e+00
3.2500e+02,0.0000e+00
3.4200e+02,0.0000e+00
3.5100e+02,0.0000e+00
3.5600e+02,0.0000e+00
3.6500e+02,0.0000e+00
3.7500e+02,0.0000e+00
3.8400e+02,0.0000e+00
4.0000e+02,0.0000e+00
4.1500e+02,0.0000e+00
4.2500e+02,0.0000e+00
4.4500e+02,0.0000e+00
4.7200e+02,0.0000e+00
4.9400e+02,0.0000e+00
5.0600e+02,0.0000e+00
5.1600e+02,0.0000e+00
5.4000e+02,0.0000e+00
5.6400e+02,0.0000e+00
5.8700e+02,0.0000e+00
6.1200e+02,0.0000e+00
6.4000e+02,0.0000e+00
6.7100e+02,0.0000e+00
7.0500e+02,0.0000e+00
7.3600e+02,0.0000e+00
7.7000e+02,0.0000e+00
8.1000e+02,0.0000e+00
8.5000e+02,0.0000e+00
8.9000e+02,0.0000e+00
9.2000e+02,2.4441e-21
9.4000e+02,8.2600e-21
9.6200e+02,1.7579e-20
9.8700e+02,3.9440e-20
1.0120e+03,8.0270e-20
1.0370e+03,1.5106e-19
1.0620e+03,2.9244e-19
1.0870e+03,5.4418e-19
1.1120e+03,8.9098e-18
1.1200e+03,1.0963e-17
1.1400e+03,1.5862e-17
1.1600e+03,2.5069e-17
1.1800e+03,3.6193e-17
1.2000e+03,5.0882e-17
1.2200e+03,7.5221e-17
1.2400e+03,1.1469e-16
1.2600e+03,1.6475e-16
1.2800e+03,2.2561e-16
1.3000e+03,3.1212e-16
1.3200e+03,4.1437e-16
1.3400e+03,5.3453e-16
1.3600e+03,6.9454e-16
1.3800e+03,9.1683e-16
1.4000e+03,1.2085e-15
1.4200e+03,1.5733e-15
1.4400e+03,2.0456e-15
1.4600e+03,2.6656e-15
1.4800e+03,3.4062e-15
1.5000e+03,4.4169e-15
1.5200e+03,3.5931e-14
1.5400e+03,6.4591e-14
1.5600e+03,6.7205e-14
1.5800e+03,8.5986e-14
1.6000e+03,1.1139e-13
1.6200e+03,1.3681e-13
1.6400e+03,1.5928e-13
1.6600e+03,1.7428e-13
1.6800e+03,2.2408e-12
1.7000e+03,3.4165e-12
1.7200e+03,4.2651e-12
1.7400e+03,5.6213e-12
1.7600e+03,5.5391e-12
1.7800e+03,7.6742e-12
1.8000e+03,7.2716e-12
1.8200e+03,5.9058e-12
1.8400e+03,6.1490e-12
1.8600e+03,7.9111e-12
1.8800e+03,9.1229e-12
1.9000e+03,1.0646e-11
1.9200e+03,1.2729e-11
1.9400e+03,1.1293e-11
1.9600e+03,1.1402e-11
1.9800e+03,1.6107e-11
2.0000e+03,1.6915e-11
2.0025e+03,1.7860e-11
2.0050e+03,2.2167e-11
2.0075e+03,2.3676e-11
2.0100e+03,2.4464e-11
2.0125e+03,2.4659e-11
2.0150e+03,2.4757e-11
2.0175e+03,2.4349e-11
2.0200e+03,2.4205e-11
2.0225e+03,2.4269e-11
2.0250e+03,2.4262e-11
2.0275e+03,2.4251e-11
2.0300e+03,2.5278e-11
2.0325e+03,2.6865e-11
2.0350e+03,2.9525e-11
2.0375e+03,3.1255e-11
2.0400e+03,3.2366e-11
2.0425e+03,3.3119e-11
2.0450e+03,3.3539e-11
2.0475e+03,3.4189e-11
2.0500e+03,3.4690e-11
2.0525e+03,3.4831e-11
2.0550e+03,3.4846e-11
2.0575e+03,3.4456e-11
2.0600e+03,3.4994e-11
2.0625e+03,3.6093e-11
2.0650e+03,3.8172e-11
2.0675e+03,4.0249e-11
2.0700e+03,4.1148e-11
2.0725e+03,4.2318e-11
2.0750e+03,4.4041e-11
2.0775e+03,4.6297e-11
2.0800e+03,4.8805e-11
2.0825e+03,5.2012e-11
2.0850e+03,5.5691e-11
2.0875e+03,5.5442e-11
2.0900e+03,5.5793e-11
2.0925e+03,5.7044e-11
2.0950e+03,5.7969e-11
2.0975e+03,5.8192e-11
2.1000e+03,5.8415e-11
2.1025e+03,5.7515e-11
2.1050e+03,6.3377e-11
2.1075e+03,6.1260e-11
2.1100e+03,5.9855e-11
2.1125e+03,6.4536e-11
2.1150e+03,7.1381e-11
2.1175e+03,8.1261e-11
2.1200e+03,7.9696e-11
2.1225e+03,6.3220e-11
2.1250e+03,5.7603e-11
2.1275e+03,6.6152e-11
2.1300e+03,6.8383e-11
2.1325e+03,6.6357e-11
2.1350e+03,6.7662e-11
2.1375e+03,7.1063e-11
2.1400e+03,7.9221e-11
2.1425e+03,9.1584e-11
2.1450e+03,9.2699e-11
2.1475e+03,8.4896e-11
2.1500e+03,8.3203e-11
2.1525e+03,8.5690e-11
2.1550e+03,8.1854e-11
2.1575e+03,7.0961e-11
2.1600e+03,7.2698e-11
2.1625e+03,8.0303e-11
2.1650e+03,7.2599e-11
2.1675e+03,6.5055e-11
2.1700e+03,7.0120e-11
2.1725e+03,7.3498e-11
2.1750e+03,7.1023e-11
2.1775e+03,8.0285e-11
2.1800e+03,1.0038e-10
2.1825e+03,1.0596e-10
2.1850e+03,9.3866e-11
2.1875e+03,8.4351e-11
2.1900e+03,9.0154e-11
2.1925e+03,1.0140e-10
2.1950e+03,1.0306e-10
2.1975e+03,1.0150e-10
2.2000e+03,1.0458e-10
2.2025e+03,1.1285e-10
2.2050e+03,1.0889e-10
2.2075e+03,8.6414e-11
2.2100e+03,7.3769e-11
2.2125e+03,7.9941e-11
2.2150e+03,8.2190e-11
2.2175e+03,8.3664e-11
2.2200e+03,9.8982e-11
2.2225e+03,1.0815e-10
2.2250e+03,1.0421e-10
2.2275e+03,1.0322e-10
2.2300e+03,1.1336e-10
2.2325e+03,1.3626e-10
2.2350e+03,1.4836e-10
2.2375e+03,1.3693e-10
2.2400e+03,1.2382e-10
2.2425e+03,1.1439e-10
2.2450e+03,1.1752e-10
2.2475e+03,1.2602e-10
2.2500e+03,1.1999e-10
2.2525e+03,1.1118e-10
2.2550e+03,1.0680e-10
2.2575e+03,1.0408e-10
2.2600e+03,1.0039e-10
2.2625e+03,9.2220e-11
2.2650e+03,8.0088e-11
2.2675e+03,7.0650e-11
2.2700e+03,6.8511e-11
2.2725e+03,7.2968e-11
2.2750e+03,8.0194e-11
2.2775e+03,8.9463e-11
2.2800e+03,1.0403e-10
2.2825e+03,1.1434e-10
2.2850e+03,1.1075e-10
2.2875e+03,1.0099e-10
2.2900e+03,9.6597e-11
2.2925e+03,1.0045e-10
2.2950e+03,1.0135e-10
2.2975e+03,8.9997e-11
2.3000e+03,8.4841e-11
2.3025e+03,9.6879e-11
2.3050e+03,1.1777e-10
2.3075e+03,1.2157e-10
2.3100e+03,9.7709e-11
2.3125e+03,8.7825e-11
2.3150e+03,1.0280e-10
2.3175e+03,1.0620e-10
2.3200e+03,1.0156e-10
2.3225e+03,1.1126e-10
2.3250e+03,1.1063e-10
2.3275e+03,1.0135e-10
2.3300e+03,9.6268e-11
2.3325e+03,9.1749e-11
2.3350e+03,9.2762e-11
2.3375e+03,8.6432e-11
2.3400e+03,8.1901e-11
2.3425e+03,7.6245e-11
2.3450e+03,6.8284e-11
2.3475e+03,7.6490e-11
2.3500e+03,9.7259e-11
2.3525e+03,1.1129e-10
2.3550e+03,1.1344e-10
2.3575e+03,1.0612e-10
2.3600e+03,9.4626e-11
2.3625e+03,9.3241e-11
2.3650e+03,9.1836e-11
2.3675e+03,9.4447e-11
2.3700e+03,1.0713e-10
2.3725e+03,1.0532e-10
2.3750e+03,9.9596e-11
2.3775e+03,9.7267e-11
2.3800e+03,7.9901e-11
2.3825e+03,7.0482e-11
2.3850e+03,8.1236e-11
